date,numberOfShots,conditionMultiplier,courseMultiplier
21 May 2023       ,59,1,1
11 Jun 2023		  ,47,1,1
2 Jul 2023		  ,50,1,1
23 Jul 2023		  ,48,1,1
13 Aug 2023		  ,49,1,1
3 Sep 2023		  ,46,1,1
1 Oct 2023		  ,42,1,1
29 Oct 2023		  ,42,1,1
3 Dec 2023		  ,42,1,1
14 Jan 2024		  ,47,1,1
18 Feb 2024		  ,42,1,1
17 Mar 2024		  ,41,1,1
14 Apr 2024		  ,47,2,1
5 May 2024		  ,46,2,1
26 May 2024		  ,50,1,1
16 Jun 2024		  ,39,1,1
7 Jul 2024		  ,44,1,1
28 Jul 2024		  ,45,1,1
18 Aug 2024		  ,46,1,1
15 Sep 2024		  ,40,1,1
20 Oct 2024		  ,44,1,1
24 Nov 2024		  ,50,2,1
5 Jan 2025		  ,46,1,1
16 Feb 2025		  ,46,2,1
15 Mar 2025		  ,47,2,1
4/5/2025		  ,38,1,1
26 May 2025		  ,41,2,1
21 June 2025	  ,44,1,1
02 August 2025	  ,40,1,1
11 October 2025	  ,45,2,1
18 June 2023	 ,58,1,2
23 July 2023	 ,59,1,2
15 October 2023	 ,57,1,2
21 April 2024	 ,60,1,2
21 July 2024	 ,56,1,2
11 August 2024	 ,54,1,2
8 June 2025		 ,55,2,2
15 June 2025	 ,52,1,2
12 July 2025	 ,56,2,2
25 August 2025	 ,51,2,2
28 September 2025,52,2,2
