date,numberOfShots,conditionMultiplier
21 May 2023       ,59,1
11 Jun 2023		  ,47,1
2 Jul 2023		  ,50,1
23 Jul 2023		  ,48,1
13 Aug 2023		  ,49,1
3 Sep 2023		  ,46,1
1 Oct 2023		  ,42,1
29 Oct 2023		  ,42,1
3 Dec 2023		  ,42,1
14 Jan 2024		  ,47,1
18 Feb 2024		  ,42,1
17 Mar 2024		  ,41,1
14 Apr 2024		  ,47,x
5 May 2024		  ,46,x
26 May 2024		  ,50,1
16 Jun 2024		  ,39,1
7 Jul 2024		  ,44,1
28 Jul 2024		  ,45,1
18 Aug 2024		  ,46,1
15 Sep 2024		  ,40,1
20 Oct 2024		  ,44,1
24 Nov 2024		  ,50,x
5 Jan 2025		  ,46,1
16 Feb 2025		  ,46,x
15 Mar 2025		  ,47,x
4/5/2025		  ,38,1
26 May 2025		  ,41,x
21 June 2025	  ,44,1
02 August 2025	  ,40,1
11 October 2025	  ,45,x
